# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# RH       = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# 
# STN,YYYYMMDD,   RH
# 
  380,20161201,    0
  380,20161202,   16
  380,20161203,    0
  380,20161204,    0
  380,20161205,    0
  380,20161206,    0
  380,20161207,    0
  380,20161208,    2
  380,20161209,    0
  380,20161210,   -1
  380,20161211,   19
  380,20161212,    0
  380,20161213,   15
  380,20161214,    0
  380,20161215,    0
  380,20161216,   -1
  380,20161217,    5
  380,20161218,    4
  380,20161219,    0
  380,20161220,    0
  380,20161221,   16
  380,20161222,   94
  380,20161223,    0
  380,20161224,   16
  380,20161225,    3
  380,20161226,   25
  380,20161227,    0
  380,20161228,    0
  380,20161229,    0
  380,20161230,    0
  380,20161231,    0
  380,20170101,    7
  380,20170102,   29
  380,20170103,    5
  380,20170104,   28
  380,20170105,   -1
  380,20170106,    0
  380,20170107,   49
  380,20170108,    0
  380,20170109,   22
  380,20170110,   36
  380,20170111,   28
  380,20170112,   71
  380,20170113,   80
  380,20170114,   23
  380,20170115,   -1
  380,20170116,    0
  380,20170117,    0
  380,20170118,    0
  380,20170119,    0
  380,20170120,    0
  380,20170121,    0
  380,20170122,    0
  380,20170123,    0
  380,20170124,    4
  380,20170125,    0
  380,20170126,    0
  380,20170127,    0
  380,20170128,   -1
  380,20170129,   30
  380,20170130,   48
  380,20170131,    0
  380,20170201,    4
  380,20170202,   -1
  380,20170203,   -1
  380,20170204,   74
  380,20170205,   -1
  380,20170206,    0
  380,20170207,   19
  380,20170208,   20
  380,20170209,    0
  380,20170210,    0
  380,20170211,   48
  380,20170212,   -1
  380,20170213,    0
  380,20170214,    0
  380,20170215,    0
  380,20170216,    0
  380,20170217,    4
  380,20170218,    0
  380,20170219,   -1
  380,20170220,   38
  380,20170221,   47
  380,20170222,  166
  380,20170223,   87
  380,20170224,   42
  380,20170225,    0
  380,20170226,   -1
  380,20170227,   82
  380,20170228,   50
  380,20170301,   68
  380,20170302,    5
  380,20170303,    1
  380,20170304,   65
  380,20170305,   20
  380,20170306,  100
  380,20170307,    1
  380,20170308,  136
  380,20170309,    7
  380,20170310,    0
  380,20170311,    0
  380,20170312,    0
  380,20170313,    0
  380,20170314,    0
  380,20170315,    0
  380,20170316,    0
  380,20170317,   19
  380,20170318,  119
  380,20170319,    7
  380,20170320,   -1
  380,20170321,   19
  380,20170322,    0
  380,20170323,    0
  380,20170324,    0
  380,20170325,    0
  380,20170326,    0
  380,20170327,    0
  380,20170328,    0
  380,20170329,    0
  380,20170330,    0
  380,20170331,   -1
  380,20170401,   15
  380,20170402,    0
  380,20170403,    0
  380,20170404,    0
  380,20170405,    0
  380,20170406,   -1
  380,20170407,    0
  380,20170408,    0
  380,20170409,    0
  380,20170410,    0
  380,20170411,    0
  380,20170412,   -1
  380,20170413,    0
  380,20170414,    0
  380,20170415,   13
  380,20170416,   19
  380,20170417,   70
  380,20170418,    3
  380,20170419,    0
  380,20170420,    0
  380,20170421,    0
  380,20170422,   11
  380,20170423,    0
  380,20170424,    0
  380,20170425,   11
  380,20170426,    6
  380,20170427,    8
  380,20170428,   -1
  380,20170429,    0
  380,20170430,    0
  380,20170501,    1
  380,20170502,  137
  380,20170503,   37
  380,20170504,   11
  380,20170505,    2
  380,20170506,    0
  380,20170507,    0
  380,20170508,    3
  380,20170509,    0
  380,20170510,    0
  380,20170511,   37
  380,20170512,   38
  380,20170513,   17
  380,20170514,    4
  380,20170515,    0
  380,20170516,    0
  380,20170517,    0
  380,20170518,   45
  380,20170519,   52
  380,20170520,    0
  380,20170521,    0
  380,20170522,    0
  380,20170523,    0
  380,20170524,    0
  380,20170525,    0
  380,20170526,    0
  380,20170527,    6
  380,20170528,   -1
  380,20170529,   -1
  380,20170530,    0
  380,20170531,    0
  380,20170601,    0
  380,20170602,   -1
  380,20170603,   19
  380,20170604,   23
  380,20170605,    0
  380,20170606,   21
  380,20170607,    4
  380,20170608,   -1
  380,20170609,   59
  380,20170610,    0
  380,20170611,   -1
  380,20170612,    0
  380,20170613,    0
  380,20170614,    0
  380,20170615,    0
  380,20170616,    0
  380,20170617,    0
  380,20170618,    0
  380,20170619,    0
  380,20170620,    0
  380,20170621,    0
  380,20170622,    0
  380,20170623,    0
  380,20170624,    0
  380,20170625,   21
  380,20170626,    0
  380,20170627,   -1
  380,20170628,   57
  380,20170629,   10
  380,20170630,    0
  380,20170701,  154
  380,20170702,    5
  380,20170703,   -1
  380,20170704,    0
  380,20170705,    0
  380,20170706,   26
  380,20170707,    0
  380,20170708,    0
  380,20170709,    0
  380,20170710,    0
  380,20170711,    2
  380,20170712,  236
  380,20170713,    0
  380,20170714,   27
  380,20170715,   -1
  380,20170716,   -1
  380,20170717,   20
  380,20170718,    0
  380,20170719,   28
  380,20170720,   63
  380,20170721,    0
  380,20170722,  142
  380,20170723,   30
  380,20170724,  149
  380,20170725,   47
  380,20170726,    6
  380,20170727,   13
  380,20170728,    1
  380,20170729,   -1
  380,20170730,    0
  380,20170731,    3
  380,20170801,    5
  380,20170802,   10
  380,20170803,   10
  380,20170804,    0
  380,20170805,  246
  380,20170806,    0
