# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# UG       = Etmaalgemiddelde relatieve vochtigheid (in procenten); 
# UX       = Maximale relatieve vochtigheid (in procenten); 
# UN       = Minimale relatieve vochtigheid (in procenten); 
# 
# STN,YYYYMMDD,   UG,   UX,   UN
# 
  380,20171001,   74,   90,   61
  380,20171002,   78,   96,   56
  380,20171003,   83,   97,   60
  380,20171004,   76,   93,   60
  380,20171005,   81,   95,   61
  380,20171006,   88,   96,   72
  380,20171007,   87,   98,   74
  380,20171008,   96,   98,   84
  380,20171009,   89,  100,   73
  380,20171010,   88,   95,   75
  380,20171011,   79,   88,   70
  380,20171012,   78,   92,   57
  380,20171013,   88,   95,   73
  380,20171014,   84,   96,   65
  380,20171015,   75,   98,   50
  380,20171016,   69,   82,   55
  380,20171017,   89,   97,   76
  380,20171018,   82,   99,   60
  380,20171019,   73,   84,   61
  380,20171020,   74,   88,   65
  380,20171021,   78,   95,   63
  380,20171022,   82,   94,   70
  380,20171023,   84,   97,   71
  380,20171024,   96,   98,   88
  380,20171025,   88,   94,   74
  380,20171026,   90,   98,   79
  380,20171027,   84,   97,   65
  380,20171028,   88,   97,   78
  380,20171029,   83,   96,   60
  380,20171030,   82,   93,   62
  380,20171031,   81,   94,   71
  380,20171101,   73,   80,   54
